96498665,202601,21,2026-01-20,0.86
42396474,202603,20,2026-01-20,3.78
91261433,202601,48,2026-01-20,4.54
1018293032,202603,31,2026-01-20,1.35
1080309212,202603,25,2026-01-20,3.14
50373844,202603,19,2026-01-20,0.15
52786339,202602,40,2026-01-20,3.68
1084304491,202601,39,2026-01-20,4.53
1023924860,202601,16,2026-01-20,0.96
1018141766,202602,46,2026-01-20,3.87
66108221,202603,41,2026-01-20,2.87
63618849,202603,47,2026-01-20,2.82
64478147,202603,28,2026-01-20,1.70
39692568,202601,46,2026-01-20,4.43
1038096136,202603,43,2026-01-20,4.11
39707763,202601,22,2026-01-20,3.29
74145190,202602,1,2026-01-20,2.01
75299319,202602,44,2026-01-20,2.12
60839818,202601,49,2026-01-20,1.31
1018218417,202602,20,2026-01-20,4.93
38698172,202602,12,2026-01-20,0.44
1009299049,202603,41,2026-01-20,1.23
1032231859,202601,50,2026-01-20,0.44
1065112872,202603,7,2026-01-20,0.45
1057559753,202603,8,2026-01-20,3.90
1006243113,202602,8,2026-01-20,3.05
92028629,202603,46,2026-01-20,4.95
86120010,202602,21,2026-01-20,4.33
55006550,202601,30,2026-01-20,3.56
75516369,202602,13,2026-01-20,4.52
1050214758,202603,50,2026-01-20,2.57
52751278,202601,19,2026-01-20,3.95
67967683,202602,21,2026-01-20,2.02
39707763,202602,48,2026-01-20,4.80
43430711,202602,25,2026-01-20,1.20
30070620,202603,45,2026-01-20,1.27
1008816273,202602,20,2026-01-20,4.99
36691456,202601,19,2026-01-20,3.29
1073684088,202602,42,2026-01-20,2.43
1028568813,202602,12,2026-01-20,4.51
1095198415,202603,19,2026-01-20,1.76
84250587,202601,36,2026-01-20,3.69
1042813441,202602,42,2026-01-20,2.93
1097136726,202602,45,2026-01-20,4.86
80791961,202603,49,2026-01-20,0.25
1074328168,202603,45,2026-01-20,0.06
1000313422,202602,2,2026-01-20,4.82
1065996048,202601,2,2026-01-20,0.03
1081615727,202603,17,2026-01-20,3.38
1009870407,202603,29,2026-01-20,2.25
73010775,202602,46,2026-01-20,2.61
1000221029,202603,31,2026-01-20,2.29
1018790665,202602,21,2026-01-20,0.03
35325797,202603,28,2026-01-20,3.91
1065071550,202603,17,2026-01-20,0.53
1091946881,202603,21,2026-01-20,0.22
45501204,202602,16,2026-01-20,4.93
1064329500,202603,40,2026-01-20,2.99
45571220,202603,37,2026-01-20,0.11
80380416,202602,9,2026-01-20,4.42
46416629,202603,44,2026-01-20,3.06
47030622,202602,34,2026-01-20,0.61
1063791456,202601,11,2026-01-20,4.45
1053787901,202603,9,2026-01-20,3.80
51390752,202602,25,2026-01-20,0.64
1040956570,202602,19,2026-01-20,0.45
31621386,202602,4,2026-01-20,1.61
47836502,202602,35,2026-01-20,0.29
61357850,202603,12,2026-01-20,0.64
1059024065,202602,50,2026-01-20,2.26
85002747,202603,3,2026-01-20,0.90
1035067288,202601,44,2026-01-20,0.99
1060514179,202602,7,2026-01-20,2.34
1034818949,202603,33,2026-01-20,4.05
1003554826,202602,40,2026-01-20,2.13
1085326966,202602,1,2026-01-20,3.15
49337821,202603,27,2026-01-20,0.53
61168503,202602,44,2026-01-20,4.02
1065740989,202601,42,2026-01-20,3.97
40026364,202602,26,2026-01-20,3.58
1087927257,202601,4,2026-01-20,1.29
59169686,202603,42,2026-01-20,4.33
40992656,202602,21,2026-01-20,4.17
1000231173,202602,13,2026-01-20,0.26
1070857598,202601,47,2026-01-20,2.43
54298582,202601,11,2026-01-20,0.35
69473122,202602,30,2026-01-20,0.09
1014410834,202603,10,2026-01-20,0.26
1088826901,202603,49,2026-01-20,3.06
1008674657,202601,23,2026-01-20,4.86
48824013,202603,20,2026-01-20,4.93
1079282932,202601,14,2026-01-20,4.29
1085246412,202603,5,2026-01-20,2.82
1034782084,202602,39,2026-01-20,3.35
1082541961,202601,36,2026-01-20,0.55
61318067,202603,45,2026-01-20,4.54
71822799,202603,37,2026-01-20,2.86
1071786786,202601,4,2026-01-20,2.54
1003377760,202602,4,2026-01-20,4.72
1079308768,202603,41,2026-01-20,3.49
38920725,202601,19,2026-01-20,1.46
68026958,202603,28,2026-01-20,0.57
99088826,202602,9,2026-01-20,1.35
44304488,202603,18,2026-01-20,2.93
41453288,202603,2,2026-01-20,3.92
97395092,202602,29,2026-01-20,3.66
1085409859,202601,45,2026-01-20,3.88
80212972,202602,42,2026-01-20,3.40
1060267799,202602,9,2026-01-20,2.20
50012713,202601,15,2026-01-20,4.99
40969337,202602,26,2026-01-20,2.93
1029853383,202602,22,2026-01-20,0.73
54278818,202602,12,2026-01-20,1.29
83317638,202602,40,2026-01-20,3.30
1001013682,202601,40,2026-01-20,0.91
1018190109,202601,34,2026-01-20,2.43
1084004136,202603,18,2026-01-20,0.43
1039052893,202602,47,2026-01-20,4.41
1088445561,202602,19,2026-01-20,2.22
66621914,202603,9,2026-01-20,3.04
35244693,202602,38,2026-01-20,3.62
1055047615,202603,16,2026-01-20,0.49
1028179185,202601,16,2026-01-20,4.15
1081615727,202603,33,2026-01-20,3.85
1043449913,202601,12,2026-01-20,4.89
46339111,202603,50,2026-01-20,3.03
1090811995,202602,6,2026-01-20,4.64
1078535485,202601,26,2026-01-20,3.39
42036612,202601,28,2026-01-20,0.53
1053237849,202603,11,2026-01-20,1.68
65546278,202603,43,2026-01-20,4.60
1083556357,202603,42,2026-01-20,1.76
1000012051,202601,9,2026-01-20,1.10
1091881701,202603,41,2026-01-20,2.46
77612525,202601,23,2026-01-20,3.35
50412415,202602,35,2026-01-20,2.64
1068164005,202602,6,2026-01-20,2.86
1028568813,202602,24,2026-01-20,0.02
1065222609,202601,46,2026-01-20,2.37
