202601,1,1045797995,107,2026-1
202602,1,69323346,407,2026-1
202603,1,23594574,307,2026-1
202601,2,1026497675,403,2026-1
202602,2,1028519574,302,2026-1
202603,2,47835353,208,2026-1
202601,3,1036587066,102,2026-1
202602,3,1040481408,304,2026-1
202603,3,1049132523,108,2026-1
202601,4,69323346,403,2026-1
202602,4,1046451817,101,2026-1
202603,4,1028466304,306,2026-1
202601,5,69323346,104,2026-1
202602,5,1044355160,102,2026-1
202603,5,64008940,301,2026-1
202601,6,1044735981,409,2026-1
202602,6,64342444,203,2026-1
202603,6,26554205,108,2026-1
202601,7,38457984,210,2026-1
202602,7,1005028250,106,2026-1
202603,7,48543889,402,2026-1
202601,8,48974756,304,2026-1
202602,8,78931450,410,2026-1
202603,8,45376092,404,2026-1
202601,9,1049132523,207,2026-1
202602,9,47837228,206,2026-1
202603,9,1031550328,406,2026-1
202601,10,1005028250,104,2026-1
202602,10,1026497675,103,2026-1
202603,10,1048787399,102,2026-1
202601,11,23594574,106,2026-1
202602,11,27563473,203,2026-1
202603,11,1048787399,303,2026-1
202601,12,72513125,402,2026-1
202602,12,41780791,309,2026-1
202603,12,48974756,201,2026-1
202601,13,1049132523,101,2026-1
202602,13,47835353,107,2026-1
202603,13,1047136717,405,2026-1
202601,14,32924696,108,2026-1
202602,14,1030120361,205,2026-1
202603,14,69323346,204,2026-1
202601,15,63445285,110,2026-1
202602,15,69323346,402,2026-1
202603,15,59424708,405,2026-1
202601,16,76557360,408,2026-1
202602,16,66098413,402,2026-1
202603,16,1046046602,403,2026-1
202601,17,54596195,302,2026-1
202602,17,1049132523,305,2026-1
202603,17,1004256244,406,2026-1
202601,18,32202322,404,2026-1
202602,18,1006399692,203,2026-1
202603,18,1003674668,406,2026-1
202601,19,37827873,304,2026-1
202602,19,1028466304,204,2026-1
202603,19,1044735981,310,2026-1
202601,20,1002053305,205,2026-1
202602,20,54961507,401,2026-1
202603,20,64342444,108,2026-1
202601,21,1010310314,403,2026-1
202602,21,54961507,305,2026-1
202603,21,38710448,310,2026-1
202601,22,72513125,204,2026-1
202602,22,64953748,206,2026-1
202603,22,1036587066,310,2026-1
202601,23,1019691022,406,2026-1
202602,23,1045797995,410,2026-1
202603,23,52063192,109,2026-1
202601,24,1007277672,103,2026-1
202602,24,76557360,201,2026-1
202603,24,1045797995,304,2026-1
202601,25,1004256244,410,2026-1
202602,25,1022104439,106,2026-1
202603,25,47835353,408,2026-1
202601,26,1030120361,110,2026-1
202602,26,1005028250,206,2026-1
202603,26,1039308873,304,2026-1
202601,27,1023116911,209,2026-1
202602,27,32202322,208,2026-1
202603,27,47837228,101,2026-1
202601,28,37827873,202,2026-1
202602,28,1009951359,101,2026-1
202603,28,1046451817,404,2026-1
202601,29,1023116911,410,2026-1
202602,29,42537738,303,2026-1
202603,29,25922964,410,2026-1
202601,30,1005028250,103,2026-1
202602,30,49988928,307,2026-1
202603,30,71880638,401,2026-1
202601,31,64342444,407,2026-1
202602,31,20447227,410,2026-1
202603,31,1044355160,202,2026-1
202601,32,1025740998,204,2026-1
202602,32,26554205,301,2026-1
202603,32,50181189,206,2026-1
202601,33,1020942504,405,2026-1
202602,33,1041888516,401,2026-1
202603,33,64953748,302,2026-1
202601,34,47837228,103,2026-1
202602,34,20447227,302,2026-1
202603,34,1038304650,301,2026-1
202601,35,1015468124,307,2026-1
202602,35,1028519574,208,2026-1
202603,35,69323346,405,2026-1
202601,36,1045069283,410,2026-1
202602,36,1028466304,204,2026-1
202603,36,78259906,402,2026-1
202601,37,1049544777,306,2026-1
202602,37,39971205,305,2026-1
202603,37,78931450,204,2026-1
202601,38,42537738,203,2026-1
202602,38,1047802769,105,2026-1
202603,38,66072484,102,2026-1
202601,39,54705160,207,2026-1
202602,39,1021152647,303,2026-1
202603,39,47837228,410,2026-1
202601,40,24142071,304,2026-1
202602,40,32924696,304,2026-1
202603,40,1006552504,304,2026-1
202601,41,1004256244,405,2026-1
202602,41,1003674668,201,2026-1
202603,41,23594574,107,2026-1
202601,42,1039308873,309,2026-1
202602,42,48974756,301,2026-1
202603,42,20447227,306,2026-1
202601,43,64953748,307,2026-1
202602,43,1036587066,405,2026-1
202603,43,1046451817,410,2026-1
202601,44,1045797995,102,2026-1
202602,44,1032500143,104,2026-1
202603,44,1043468049,208,2026-1
202601,45,1005438144,306,2026-1
202602,45,48543889,407,2026-1
202603,45,63445285,208,2026-1
202601,46,27563473,202,2026-1
202602,46,1023116911,205,2026-1
202603,46,47837228,309,2026-1
202601,47,1028466304,110,2026-1
202602,47,1039308873,202,2026-1
202603,47,66098413,109,2026-1
202601,48,66072484,206,2026-1
202602,48,78259906,206,2026-1
202603,48,27563473,206,2026-1
202601,49,1018924276,404,2026-1
202602,49,49988928,102,2026-1
202603,49,64342444,406,2026-1
202601,50,23594574,206,2026-1
202602,50,1028519574,106,2026-1
202603,50,38457984,108,2026-1
