78383157,Andres,Rodriguez,andres.rodriguez78383157@estudiante.edu.co,2003-09-19,Bucaramanga
86827045,Alejandro,Silva,alejandro.silva86827045@estudiante.edu.co,1997-02-14,Manizales
72426783,Camila,Silva,camila.silva72426783@estudiante.edu.co,2003-07-12,Cali
51160663,Mateo,Gonzalez,mateo.gonzalez51160663@estudiante.edu.co,2006-04-01,Medellin
1032123638,Mariana,Muñoz,mariana.muñoz1032123638@estudiante.edu.co,1995-01-14,Cali
83000278,Mateo,Rodriguez,mateo.rodriguez83000278@estudiante.edu.co,1998-08-20,Bucaramanga
1096967921,Gabriela,Ramirez,gabriela.ramirez1096967921@estudiante.edu.co,2005-03-02,Bucaramanga
1042415187,Sofia,Lopez,sofia.lopez1042415187@estudiante.edu.co,1997-05-17,Pereira
1008495420,Juan,Gomez,juan.gomez1008495420@estudiante.edu.co,2004-08-28,Cartagena
1083143613,Juan,Sanchez,juan.sanchez1083143613@estudiante.edu.co,2007-04-06,Bogota
35325797,Alejandro,Ramirez,alejandro.ramirez35325797@estudiante.edu.co,2004-10-29,Cali
1013001711,Paula,Rodriguez,paula.rodriguez1013001711@estudiante.edu.co,2002-03-20,Bucaramanga
40969337,Sofia,Sanchez,sofia.sanchez40969337@estudiante.edu.co,2005-07-13,Manizales
1035349009,Santiago,Sanchez,santiago.sanchez1035349009@estudiante.edu.co,2002-05-24,Ibague
42518407,Carlos,Sanchez,carlos.sanchez42518407@estudiante.edu.co,2006-12-01,Cali
1050107527,Andres,Perez,andres.perez1050107527@estudiante.edu.co,1999-12-23,Cucuta
61321972,Juan,Lopez,juan.lopez61321972@estudiante.edu.co,1996-10-10,Cali
33519894,Mateo,Ramirez,mateo.ramirez33519894@estudiante.edu.co,2002-12-19,Barranquilla
30754217,Paula,Gonzalez,paula.gonzalez30754217@estudiante.edu.co,2004-09-22,Bogota
1040258541,Valentina,Lopez,valentina.lopez1040258541@estudiante.edu.co,2004-07-11,Medellin
1013308658,Paula,Ramirez,paula.ramirez1013308658@estudiante.edu.co,1999-12-29,Bogota
49337821,Juan,Torres,juan.torres49337821@estudiante.edu.co,2007-09-07,Cucuta
1012751005,Santiago,Sanchez,santiago.sanchez1012751005@estudiante.edu.co,1995-11-29,Cucuta
1057707906,Laura,Martinez,laura.martinez1057707906@estudiante.edu.co,1996-09-17,Manizales
44822078,Laura,Rojas,laura.rojas44822078@estudiante.edu.co,2006-09-16,Bucaramanga
1029641959,Laura,Velasquez,laura.velasquez1029641959@estudiante.edu.co,2001-09-26,Medellin
1070642957,Paula,Sanchez,paula.sanchez1070642957@estudiante.edu.co,1997-03-29,Barranquilla
1017979744,Carlos,Gomez,carlos.gomez1017979744@estudiante.edu.co,2002-08-28,Cucuta
1035067288,Laura,Gomez,laura.gomez1035067288@estudiante.edu.co,1999-12-20,Cucuta
1050214758,Mariana,Rojas,mariana.rojas1050214758@estudiante.edu.co,2000-11-29,Cali
71631351,Sofia,Perez,sofia.perez71631351@estudiante.edu.co,1998-06-13,Medellin
1019334513,Paula,Ramirez,paula.ramirez1019334513@estudiante.edu.co,2003-01-21,Ibague
46470394,Mateo,Rojas,mateo.rojas46470394@estudiante.edu.co,2007-02-11,Bogota
